term,time_taken_s
not,16.124407052993774
hydroxide,16.15521812438965
disruption,16.384047508239746
excess,16.739386796951294
inaccurate,16.887494564056396
contributor,16.901468992233276
no,16.902434587478638
up,16.903189182281494
laboratories,16.966567754745483
attracts,17.008892059326172
provided,17.057541131973267
authentication,17.159183025360107
residues,17.199453592300415
mined,17.211658000946045
complaint,17.16848850250244
sediments,17.213227033615112
chemically,17.19133758544922
Rudolf,17.27090311050415
in,17.311913013458252
sixty,17.29169273376465
recipients,17.32679557800293
in,17.288421154022217
pioneering,17.341705799102783
on,17.310534715652466
viscosity,17.39160394668579
Sussex,17.454408884048462
hang,17.374162197113037
ensued,17.377511501312256
deceased,17.418932914733887
date,17.390785694122314
neighbours,17.446362733840942
that,17.450095176696777
conditioning,17.497780084609985
Gaul,17.455230712890625
Holy,17.466896533966064
inflicted,17.50657844543457
morning,17.50845718383789
ecosystems,17.51580572128296
Britannica,17.477807998657227
end,17.44686770439148
inverted,17.439979076385498
administer,17.470099449157715
emigration,17.457518100738525
force,17.46246027946472
Scotia,17.507005214691162
mourning,17.470662593841553
detective,17.56163001060486
analytic,17.569663524627686
of,17.50304102897644
receive,17.57379174232483
bombardment,17.553447246551514
Antarctic,17.60039973258972
waist,17.601099252700806
from,17.57555365562439
sized,17.611762046813965
advertisement,17.662861108779907
qualifying,17.628092527389526
as,17.610441207885742
Royal,17.698429346084595
nasal,17.6639564037323
bounds,17.69877576828003
motifs,17.61543560028076
masks,17.70657706260681
dictionaries,17.718941688537598
Oswald,17.73799753189087
though,17.682974100112915
inning,17.744301080703735
shorts,17.718437433242798
imposing,17.674193382263184
do,17.675657987594604
adjustments,17.706406593322754
API,17.72433638572693
Rousseau,17.714955806732178
Society,17.785802841186523
developer,17.7826087474823
the,17.744128227233887
wrestling,17.749650478363037
not,17.707765340805054
Klein,17.7523250579834
exam,17.79686141014099
developmental,17.79874539375305
Honduras,17.80746579170227
Spirit,17.772106647491455
way,17.781234741210938
the,17.77604031562805
reliance,17.78376817703247
blown,17.820098400115967
flames,17.819679975509644
chaotic,17.75429058074951
envisioned,17.82473111152649
dragged,17.836809396743774
illustrates,17.759982109069824
inertial,17.838420867919922
the,17.84206533432007
Iceland,17.852556943893433
viral,17.806370735168457
Nova,17.80355715751648
broadband,17.780261039733887
Owen,17.804903745651245
Pliny,17.863171339035034
authentication,7.690447807312012
dragged,8.11424207687378
Nova,8.209487438201904
Gaul,8.344529867172241
Sussex,8.485609769821167
laboratories,8.445081949234009
receive,8.66194462776184
blown,8.728752851486206
provided,8.763665199279785
ensued,8.758135795593262
neighbours,8.838316679000854
Iceland,9.046736240386963
illustrates,9.001620292663574
chemically,9.16619086265564
reliance,9.202990531921387
adjustments,9.184719562530518
envisioned,9.257233381271362
flames,9.26626968383789
up,9.317365169525146
mourning,9.313337564468384
sixty,9.369417190551758
on,9.387894868850708
inertial,9.427004098892212
API,9.482103109359741
way,9.54076862335205
developer,9.559162378311157
motifs,9.51640772819519
dictionaries,9.587244272232056
bounds,9.603367567062378
imposing,9.621867895126343
emigration,9.635443449020386
pioneering,9.751669645309448
masks,9.754352569580078
contributor,9.779968976974487
Owen,9.79799509048462
hang,9.795942544937134
detective,9.850422382354736
qualifying,9.839046001434326
of,9.818036556243896
not,9.813627481460571
no,9.856515169143677
bombardment,9.831032991409302
conditioning,9.887996673583984
Royal,9.940598726272583
do,9.879784345626831
ecosystems,9.935281991958618
wrestling,9.89895248413086
in,9.982604265213013
though,9.945786476135254
shorts,9.980862140655518
Honduras,10.01654052734375
in,10.02253270149231
not,10.075286149978638
analytic,10.105582237243652
inning,10.110808610916138
hydroxide,10.101191997528076
deceased,10.164570808410645
Oswald,10.22348666191101
Antarctic,10.227242231369019
Britannica,10.244204759597778
viral,10.251959562301636
advertisement,10.29244351387024
developmental,10.297085046768188
nasal,10.313027381896973
inflicted,10.323293685913086
sized,10.30956482887268
force,10.294302463531494
broadband,10.307582378387451
the,10.33169436454773
Spirit,10.336339235305786
chaotic,10.343324184417725
exam,10.40321135520935
Society,10.410151958465576
the,10.380002975463867
excess,10.366308450698853
mined,10.40139365196228
viscosity,10.381436347961426
attracts,10.401832103729248
Rousseau,10.413168907165527
morning,10.454434871673584
recipients,10.451492071151733
complaint,10.49918246269226
from,10.50156545639038
inaccurate,10.54837965965271
waist,10.534703493118286
inverted,10.526539325714111
end,10.548576354980469
disruption,10.576989889144897
Klein,10.58752727508545
sediments,10.606698751449585
date,10.591777086257935
the,10.633670568466187
Scotia,10.629550695419312
Pliny,10.683329343795776
Holy,10.653377056121826
administer,10.645217657089233
Rudolf,10.69425892829895
that,10.673700094223022
as,10.648562908172607
residues,10.67068099975586
neighbours,11.639452934265137
force,11.61298418045044
from,11.65108060836792
shorts,11.669277906417847
complaint,11.660063028335571
mined,11.721865177154541
end,11.694750547409058
Owen,11.703278303146362
API,11.726375341415405
though,11.736738920211792
Oswald,11.80911374092102
deceased,11.776847839355469
developmental,11.818774223327637
qualifying,11.80880880355835
analytic,11.846666097640991
Scotia,11.833663940429688
Nova,11.84673810005188
receive,11.86496877670288
bombardment,11.85230541229248
illustrates,11.850240468978882
inverted,11.849797010421753
envisioned,11.892029523849487
developer,11.943426609039307
inertial,11.93613076210022
pioneering,11.946501731872559
provided,11.951486349105835
Antarctic,11.941023349761963
as,11.938982963562012
disruption,11.93935751914978
ecosystems,11.97379994392395
morning,11.972330808639526
up,11.943585634231567
residues,11.970200061798096
motifs,11.956886529922485
flames,11.992823362350464
blown,12.01444411277771
emigration,11.999268293380737
Rousseau,12.014464378356934
adjustments,12.01622724533081
that,12.051657438278198
Iceland,12.09050989151001
mourning,12.037282705307007
in,12.039862871170044
attracts,12.046090841293335
conditioning,12.092498302459717
inaccurate,12.077675580978394
the,12.065169095993042
ensued,12.065449714660645
Gaul,12.081553220748901
administer,12.081496238708496
chemically,12.080315589904785
inning,12.108661890029907
no,12.101911783218384
hydroxide,12.081177473068237
inflicted,12.115507364273071
the,12.097825288772583
Pliny,12.146073579788208
chaotic,12.096967697143555
the,12.129075050354004
Klein,12.103039503097534
dictionaries,12.14037561416626
waist,12.112996816635132
detective,12.150496006011963
Rudolf,12.157366275787354
Sussex,12.159816026687622
sixty,12.12710690498352
sediments,12.129630088806152
nasal,12.143931865692139
not,12.141252279281616
sized,12.148966073989868
masks,12.164464712142944
viscosity,12.1477952003479
Britannica,12.145945310592651
not,12.147925615310669
do,12.148515462875366
dragged,12.188305139541626
viral,12.171255826950073
advertisement,12.232767581939697
Spirit,12.2163987159729
authentication,12.211627006530762
imposing,12.219503164291382
reliance,12.241361141204834
wrestling,12.238882780075073
Royal,12.283863306045532
laboratories,12.245347738265991
contributor,12.295875310897827
date,12.253197193145752
recipients,12.267895698547363
exam,12.288854122161865
hang,12.262733459472656
in,12.301878690719604
broadband,12.274401664733887
on,12.272111415863037
Holy,12.283798456192017
Society,12.326708316802979
of,12.273294925689697
way,12.299262046813965
excess,12.276750564575195
Honduras,12.33504843711853
bounds,12.330520629882812
